,rab.all,rab.win.CON,rab.win.MIX,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH
OTU-16780,-0.751103811,0.838112513,-1.429465866,-2.346614839,2.622761257,-0.787161701,0.156255893,0.104832895,0.607383025,0.006164354,0.334748194
OTU-05013,-3.024045724,-2.608192139,-3.832472854,-1.60327284,3.156476826,-0.350433415,0.302085455,0.272684261,0.797351013,0.130342933,0.634600986
OTU-04648,0.359903716,0.127485752,0.663018669,0.557849487,1.475684279,0.350328326,0.371135243,0.348881254,0.87984951,0.362465035,0.867516542
OTU-04906,-1.257336666,-0.99054688,-1.275221691,0.398199114,3.706828435,0.09433832,0.468750284,0.566440414,0.926084293,0.819677424,0.968857763
OTU-05184,2.250899975,2.297776961,2.066016554,-0.661393012,2.065297957,-0.275066021,0.360826078,0.230219584,0.834712359,0.314277033,0.850513597
OTU-11946,-1.669468974,-0.750925497,-2.943775065,-1.691660464,3.749397812,-0.379724359,0.350516918,0.258805425,0.810825809,0.166139269,0.701038326
OTU-04054,0.375239524,-0.247386395,0.579508348,0.704694504,2.21323594,0.348782154,0.364584655,0.263142065,0.831545424,0.243088232,0.799450134
OTU-04367,1.481549805,1.445649852,1.643526497,0.313610084,2.709080555,0.11350008,0.437500574,0.724320745,0.940177395,0.740727097,0.95792811
OTU-08664,-0.806118025,-0.836797723,-0.757999911,0.37497527,2.190370427,0.181489037,0.422681114,0.588388372,0.929836279,0.666320887,0.945179232
OTU-13174,-0.542110521,-0.656074691,-0.481687526,0.331216447,2.473326096,0.096189581,0.468750284,0.794628786,0.947008041,0.77419669,0.961377747
OTU-05290,-2.018617354,-1.93992375,-2.226040899,-0.296589361,2.659962176,-0.089006128,0.458333713,0.611522257,0.930148196,0.659697286,0.946183652
OTU-04252,-3.912153318,-3.8952687,-3.934608566,-0.006513535,2.285091804,-0.002883953,0.5,0.608862386,0.923867504,0.684459865,0.953407258
OTU-12182,-0.498040852,-1.038514554,0.013444938,1.184342543,2.26100295,0.463203367,0.298971196,0.066194499,0.600485663,0.06187217,0.496652795
OTU-05242,0.156221931,0.175028651,0.06401694,-0.232396993,1.570115757,-0.129360977,0.463917847,0.877055086,0.965477991,0.864949544,0.98547897
OTU-12407,0.071692898,-0.075567946,0.378817718,0.091611772,2.388872987,0.031155948,0.479166855,0.83999128,0.958135839,0.883548,0.980317811
OTU-05262,-0.177266513,-0.396757948,0.028166602,0.855942864,2.845558156,0.317152305,0.340207762,0.29598127,0.852900612,0.217546528,0.760595599
OTU-04917,1.157188565,1.813822615,0.902950184,-0.966270373,3.650954042,-0.228480682,0.427084007,0.540293606,0.921781889,0.621077427,0.950119814
OTU-12118,-2.024486975,-0.895653625,-2.50808155,-0.434775088,4.286973072,-0.115487035,0.443299478,0.648764931,0.931904284,0.501422486,0.91821246
OTU-13239,-0.294921923,-0.775286225,-0.026871623,0.726891893,2.212608254,0.222411858,0.360826078,0.806229913,0.952131071,0.327416577,0.839462428
OTU-16795,-1.52655432,-0.096668308,-2.90133761,-2.782873806,3.670024407,-0.665249791,0.208337331,0.109098758,0.661798619,0.014246682,0.385196206
OTU-09912,-1.446933087,-1.374251859,-1.541082952,-0.115424852,3.355944016,-0.028183589,0.479166855,0.704269991,0.942667629,0.695841327,0.95112311
OTU-23199,-0.596125898,-0.593543439,-0.596125898,0.736643447,3.059122728,0.231293713,0.427084007,0.503953443,0.906908233,0.639426451,0.946235492
OTU-05514,-1.664048059,-1.963779247,-1.526796389,0.145439873,2.456288312,0.027463752,0.474227033,0.780839239,0.950773299,0.795438762,0.962010874
OTU-05248,0.558569232,0.355335909,0.584225841,0.307055627,1.887378414,0.131118382,0.437500574,0.653781114,0.935172622,0.67966604,0.954036893
OTU-13237,0.777488753,0.827922734,0.777488753,0.122645428,1.845988083,0.077664321,0.474227033,0.760899626,0.945848741,0.868733858,0.987067421
OTU-11555,-0.054585897,-0.001755258,-0.088479152,-0.003291137,2.634162934,-0.0011431,0.494845406,0.658942956,0.931125844,0.8582775,0.981243138
OTU-13464,-2.07389688,-1.978931532,-2.195346859,-0.299258515,1.437102183,-0.114681772,0.427084007,0.298596572,0.859029348,0.507469382,0.902005776
OTU-12249,-0.982504213,-0.91788231,-0.990375151,0.925443352,4.226224415,0.201624402,0.38541776,0.362093199,0.873248168,0.529896574,0.941448209
OTU-00332,-1.076878017,-0.425002782,-1.460952497,-1.425517456,2.878492822,-0.468840283,0.302085455,0.0660392,0.592384257,0.085697118,0.579902582
OTU-05317,-2.77721255,-2.714534064,-2.89516954,-0.107810843,2.737450841,-0.026592812,0.474227033,0.671417838,0.92882562,0.689208389,0.942373443
OTU-08358,-3.582067142,-3.450089157,-3.662804899,-0.796674716,3.582395526,-0.128554009,0.412371935,0.703936977,0.927453124,0.610547108,0.930938617
OTU-12105,-0.619680342,-1.040756575,0.336427396,0.976631088,4.299816186,0.189882918,0.412371935,0.729045296,0.941185331,0.658297358,0.945848587
OTU-13060,-2.472294249,-1.221916498,-3.128941261,-1.930241965,3.797071735,-0.500987512,0.247425684,0.118367416,0.655929812,0.072376233,0.514283127
OTU-05508,-1.585989346,-2.132088293,-0.385856637,1.949507562,2.874988883,0.668050075,0.229170132,0.015707293,0.484320359,0.01766161,0.393439007
OTU-04768,-2.600086421,-2.70210966,-2.407834467,-0.110791897,2.370368029,-0.043700539,0.48453622,0.493341893,0.900634435,0.75427222,0.96076292
OTU-05258,-1.544786243,-1.61508462,-1.481815309,0.160937983,1.629681366,0.049102177,0.463917847,0.703385495,0.94184375,0.775856728,0.954453228
OTU-05522,-0.899253313,-0.842578187,-1.010068784,-0.328398677,2.486542723,-0.110250035,0.479166855,0.469017116,0.902185777,0.71722004,0.954133429
OTU-05300,-3.234470852,-3.555641849,-2.962056094,0.576811179,2.240613727,0.206687975,0.381444412,0.268814756,0.839928575,0.369483769,0.829932156
OTU-11621,-2.2051484,-2.459485152,-1.502133165,0.946981899,2.536501053,0.323770453,0.343751566,0.297591763,0.82821142,0.172291049,0.678886754
OTU-05250,0.090025179,-0.456047702,0.728128615,1.024392323,1.839182444,0.542811134,0.281252446,0.073586532,0.624680516,0.073340675,0.544971304
OTU-05249,-0.322143619,-0.34840948,-0.289467312,0.429409756,2.235155957,0.206506489,0.391753583,0.509410633,0.901272145,0.551613424,0.921201731
OTU-04964,-2.115475304,-2.077668045,-2.140284826,-0.219370772,3.443474794,-0.064253528,0.447917143,0.657363795,0.928621043,0.690027129,0.951603897
OTU-12969,-3.059991882,-4.263711465,-2.809101218,1.11076387,3.239229454,0.244436783,0.406250879,0.44432843,0.864034914,0.460076268,0.882096929
OTU-04713,-2.86262581,-3.449960159,-2.398079771,0.800325466,2.593133645,0.249505869,0.360826078,0.310428445,0.836214188,0.212573951,0.75039279
OTU-12130,-3.152568541,-2.664231155,-3.541512565,-0.712943978,5.211709165,-0.143567785,0.427084007,0.826211724,0.957716049,0.735309649,0.95772052
OTU-04793,-2.172786332,-2.323459162,-2.008044115,0.30186598,2.33845868,0.097969692,0.443299478,0.687656674,0.934596107,0.714782265,0.959323292
OTU-05294,-1.267680398,-1.110042609,-1.703560304,-0.7894786,2.184676594,-0.336892422,0.350516918,0.106129007,0.685558021,0.152567751,0.695394917
OTU-12993,-2.757980601,-3.030439459,-2.408432084,0.312973383,3.253535456,0.077763039,0.458333713,0.495864196,0.899592944,0.584808809,0.925476004
OTU-13179,-3.19715892,-3.421894523,-2.972720221,0.592667917,3.402516619,0.113091324,0.416667442,0.694733858,0.932620721,0.694455451,0.946766087
OTU-12998,-4.3964006,-4.426664317,-4.348494952,-0.046564053,3.814691533,-0.012790385,0.494845406,0.593178667,0.916722024,0.752455618,0.956550825
OTU-23129,-2.623330952,-2.451122425,-2.718939799,-0.070295432,2.48354492,-0.016306618,0.489583428,0.601034352,0.928175054,0.73436416,0.958540575
OTU-05196,-2.490494256,-2.55475634,-2.433197657,-0.090867128,1.896803826,-0.048521466,0.474227033,0.59280824,0.926182742,0.783803939,0.966224636
OTU-09840,-4.174419654,-3.627556671,-4.347794812,-0.521089858,3.000517729,-0.172747877,0.391753583,0.479994016,0.888868668,0.400848222,0.833589506
OTU-13163,-3.236970367,-4.199153738,-2.72243626,1.266611519,2.969399005,0.3916149,0.319589466,0.207474204,0.778437888,0.165746632,0.679342753
OTU-05197,-3.208406555,-3.307533406,-3.021952443,0.323432521,2.22163931,0.115305227,0.432990295,0.686902178,0.927533352,0.669197432,0.942406455
OTU-14058,-2.961333759,-1.979164849,-4.164812257,-1.8005462,3.759157096,-0.381832898,0.302085455,0.225723217,0.763416715,0.095916341,0.565914416
OTU-11785,-2.983191934,-3.260864739,-2.657281855,0.629674484,2.256503207,0.164253175,0.38541776,0.270975881,0.824744163,0.377147713,0.8211743
