,GC.RM.8672.BT5011.1_quant,GC.RM.8672.BT5011.10_quant,GC.RM.8672.BT5011.11_quant,GC.RM.8672.BT5011.12_quant,GC.RM.8672.BT5011.141_quant,GC.RM.8672.BT5011.142_quant,GC.RM.8672.BT5011.143_quant,GC.RM.8672.BT5011.144_quant,GC.RM.8672.BT5011.145_quant,GC.RM.8672.BT5011.146_quant,GC.RM.8672.BT5011.147_quant,GC.RM.8672.BT5011.148_quant,GC.RM.8672.BT5011.149_quant,GC.RM.8672.BT5011.150_quant,GC.RM.8672.BT5011.151_quant,GC.RM.8672.BT5011.152_quant,GC.RM.8672.BT5011.2_quant,GC.RM.8672.BT5011.3_quant,GC.RM.8672.BT5011.4_quant,GC.RM.8672.BT5011.5_quant,GC.RM.8672.BT5011.6_quant,GC.RM.8672.BT5011.7_quant,GC.RM.8672.BT5011.8_quant,GC.RM.8672.BT5011.9_quant
ENSRNOG00000037595,16.729394,13.496393,13.701757,10.889617,13.892995,9.890258,7.993551,15.462605,20.433409,10.428616,16.677488,16.567699,13.960717,13.902406,14.613057,18.979324,8.605353,10.157718,6.084571,6.045103,8.062735,13.529624,10.294957,13.921815
ENSRNOG00000037600,0,0,0,0,0,0,0,0,0,0,0,0.14884,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037604,8.451177,4.817016,2.963189,3.168723,2.308531,2.32482,1.663131,4.445745,6.00273,3.120927,3.960958,4.108473,5.104755,5.137777,3.999446,4.095482,1.382219,2.088202,2.484154,1.989617,2.544412,6.701553,3.262637,5.43904
ENSRNOG00000037607,316.816274,375.617867,477.452789,535.085115,469.366423,548.042,711.911148,469.005151,532.592121,587.260046,520.377477,396.987245,417.975512,469.653397,514.562273,440.231871,499.38705,543.925923,646.536796,541.393025,662.604698,405.904327,748.293869,396.859425
ENSRNOG00000037610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037613,2.624503,2.315472,1.611824,1.767944,1.227342,2.088183,1.712639,2.706179,3.352349,2.017259,1.817229,2.936799,4.064776,2.265162,2.98222,3.273689,1.231971,1.882777,1.390543,0.288055,0.87978,4.141959,1.783351,1.800656
ENSRNOG00000037618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037620,1.556692,1.964824,1.059825,0.747365,1.392241,1.49876,2.34085,1.864384,1.638868,1.953018,1.601242,1.623601,1.97279,1.059832,1.760485,2.208381,0.869747,1.819612,1.109012,0.656574,0.838734,1.763101,1.908056,1.196454
ENSRNOG00000037621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
