ID,700052000,700052001,700052002,700052003,700052004,700052005,700052006,700052007,700052008,700052009,700052070,700052071,700052072,700052073,700052074,700052075,700052076,700052077,700052078,700052079
1-lignoceroyl-GPC (24:0),"2,478,041","2,795,231","2,732,012","3,085,808","2,591,226","3,297,322","2,850,099","3,192,702","2,403,047","3,037,352","2,462,857","3,363,410","2,121,801","2,795,760","3,350,725","2,007,563","2,858,332","2,922,392","3,208,496","2,348,859"
1-linolenoyl-GPC (18:3)*,"3,169,110","4,247,761","2,829,928","3,950,230","4,372,059","3,729,427","4,155,217","3,563,609","5,766,179","5,397,658","3,529,624","4,429,298","5,160,363","2,592,779","3,514,501","2,775,823","3,369,150","4,206,445","3,071,287","3,679,136"
1-linolenoylglycerol (18:3),"2,831,903","2,864,092","935,035","1,193,938","687,423","1,163,402","922,672","1,737,335",,"2,364,191","1,825,525","2,605,548",,"1,110,728","501,048","2,753,972",,"1,674,032","1,256,083","1,470,900"
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,"56,533,980","92,596,664","57,925,196","68,705,280","63,666,936","73,075,496","61,661,516","64,656,860","65,613,004","80,045,488","61,371,436","97,879,536","37,865,244","64,990,040","76,062,176","60,641,676","69,879,160","83,933,744","63,381,532","68,340,096"
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,"2,075,963","2,479,695","630,101","1,997,155","2,629,001","4,560,638","2,425,300","1,468,714","2,936,942","2,166,320","1,294,029","1,464,134","978,079","2,178,746","3,054,842","1,477,418","1,308,538","1,807,554","1,234,405","2,644,857"
1-linoleoyl-GPA (18:2)*,"3,229,528",,"1,853,875","2,825,339","2,659,865","1,440,402","2,109,888","3,352,649","2,115,985","3,009,822","1,738,016",,"1,228,152","1,613,526","2,189,962","2,200,720","1,537,524","2,119,613","1,814,863","1,833,282"
1-linoleoyl-GPC (18:2),"294,209,152","350,404,512","236,015,712","270,792,416","299,879,072","290,403,872","335,910,304","233,075,296","349,629,792","310,716,544","287,727,744","352,754,656","268,752,256","256,431,664","293,047,328","257,600,592","256,684,288","312,067,968","252,862,144","304,455,776"
1-linoleoyl-GPE (18:2)*,"2,751,036","2,085,577","1,410,443","2,503,017","1,854,297","2,348,286","2,642,459","1,674,079","2,616,246","2,757,123","2,066,612","1,622,917","855,400","2,425,891","2,229,256","1,806,786","1,637,286","2,726,541","1,815,636","2,656,182"
1-linoleoyl-GPG (18:2)*,,,,"388,476","251,379","384,335","442,322","345,795","308,619","581,159","257,582","468,354",,"215,319","384,296","167,632","138,585","482,739","304,176","433,277"
1-linoleoyl-GPI (18:2)*,"3,029,599","3,301,673","2,437,201","2,769,534","3,975,631","3,691,517","2,914,773","2,412,875","3,417,843","3,592,414","2,717,671","3,795,518","1,324,050","2,573,009","3,667,441","2,573,694","2,718,559","3,319,656","3,149,534","3,510,887"
