,GC-RM-8672-BT5011-1_quant,GC-RM-8672-BT5011-10_quant,GC-RM-8672-BT5011-11_quant,GC-RM-8672-BT5011-12_quant,GC-RM-8672-BT5011-141_quant,GC-RM-8672-BT5011-142_quant,GC-RM-8672-BT5011-143_quant,GC-RM-8672-BT5011-144_quant,GC-RM-8672-BT5011-145_quant,GC-RM-8672-BT5011-146_quant,GC-RM-8672-BT5011-147_quant,GC-RM-8672-BT5011-148_quant,GC-RM-8672-BT5011-149_quant,GC-RM-8672-BT5011-150_quant,GC-RM-8672-BT5011-151_quant,GC-RM-8672-BT5011-152_quant,GC-RM-8672-BT5011-2_quant,GC-RM-8672-BT5011-3_quant,GC-RM-8672-BT5011-4_quant,GC-RM-8672-BT5011-5_quant,GC-RM-8672-BT5011-6_quant,GC-RM-8672-BT5011-7_quant,GC-RM-8672-BT5011-8_quant,GC-RM-8672-BT5011-9_quant
ENSRNOG00000016097,500.5596715,408.6880953,449.9006279,525.4506978,263.0509668,247.0847842,128.3199021,334.8645978,475.0198592,293.6469816,416.8316761,298.7556629,388.31766,389.9195656,427.3150599,389.9070789,396.6377705,345.6064696,322.4138821,249.0514308,282.418688,505.5410572,476.2399331,395.2595123
ENSRNOG00000016099,519.5269911,660.8909337,774.4988133,697.1165275,831.7131192,914.1141179,1415.73664,574.0190269,553.806186,744.5265644,644.3013462,619.4782724,681.0450594,724.6686478,703.2810038,756.3852603,1163.590182,901.9031648,1010.701921,1284.652016,1017.645224,601.2494056,753.5418074,771.7318416
ENSRNOG00000016103,6.799792163,3.328385499,5.411329021,7.561195371,17.57448985,12.94570129,0,13.51322858,12.00071667,14.53484065,12.13427827,12.75004899,13.39396754,8.123212476,5.663429845,10.22872858,20.41188131,19.73259689,19.49829661,34.54072362,24.26700983,10.94584743,9.548570893,10.19368676
ENSRNOG00000016105,123.1960287,153.9170678,136.3516741,160.7217697,78.26049322,111.9336216,51.55317023,115.5101325,143.6160479,105.0405489,141.305934,116.7894148,102.6177596,135.3141499,81.06717338,115.9561424,141.9929085,78.58684953,73.56994714,44.55671143,81.68524141,148.581344,92.93661131,146.2890611
ENSRNOG00000016108,8.742047729,11.09458635,5.410233408,3.240310822,7.030628677,1.078853179,0,7.60097703,3.528032021,5.451303496,2.20557973,11.95453292,11.38058606,7.61226046,5.663046074,19.52852032,4.530226015,8.114278036,4.585739571,0,4.044800686,15.72981991,0.95430103,6.486130303
ENSRNOG00000016109,99.15183054,89.94785133,63.86665077,83.23114516,134.9175116,104.7556165,65.77010365,125.9447757,133.3303115,92.78878004,104.7828751,120.4872042,132.5459839,104.0175799,104.8444469,129.3944974,82.48880729,142.2285685,93.98558676,59.00459072,98.19461497,155.9524204,98.23881531,92.71648051
ENSRNOG00000016112,37.74958986,32.02590014,36.75829232,24.75548915,4.654812429,9.656814306,0,31.96022794,46.04174808,15.33410693,44.15213098,34.03658575,33.55440951,31.06221161,23.51597255,34.21551228,5.774373623,10.65377105,2.301997909,18.15694639,0,41.76566303,21.12874592,33.27524019
ENSRNOG00000016117,14.58463427,5.554576769,8.658570756,9.730635014,17.61098724,4.322095897,0,20.29316422,7.753443267,12.74576326,13.23029054,34.33593941,6.020992177,23.32244674,18.89510137,22.3537097,6.758926396,14.98266409,30.9199495,0,24.31057755,12.99027775,8.573627839,18.54487011
ENSRNOG00000016119,92.19011461,86.41602606,55.19315724,32.37257862,37.40832535,29.07793797,28.13232579,102.9109146,58.68907471,53.47104673,61.81139864,105.750818,98.55901008,47.2869131,55.63659276,45.48409867,21.70354346,49.13354875,9.191291974,10.13510676,12.11003255,84.20309649,38.29240335,40.74919655
ENSRNOG00000016121,157.1399958,100.6819311,112.0867169,136.379051,99.39251501,118.1199343,87.9757007,143.290152,98.86717081,101.2591399,124.0359192,115.5506796,107.6663385,166.3941466,77.27714517,114.7001205,91.69511342,90.4224938,54.29925546,126.2666267,104.7257619,122.8063918,114.8921125,148.3320859
